Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,41.602501,42.299999,41.317501,42.275002,40.545788,214277600
2018-05-02,43.807499,44.437500,43.450001,44.142502,42.336899,266157600
2018-05-03,43.970001,44.375000,43.610001,44.222500,42.413620,136272800
2018-05-04,44.562500,46.062500,44.542500,45.957500,44.077656,224805200
2018-05-07,46.294998,46.917500,46.187500,46.290001,44.396557,169805600
2018-05-08,46.247501,46.555000,45.917500,46.512501,44.609955,113611200
2018-05-09,46.637501,46.849998,46.305000,46.840000,44.924053,92844800
2018-05-10,46.935001,47.592499,46.912498,47.509998,45.566647,111957200
2018-05-11,47.372501,47.514999,46.862499,47.147499,45.393345,104848800
2018-05-14,47.252499,47.382500,46.965000,47.037498,45.287445,83115200
2018-05-15,46.695000,46.767502,46.275002,46.610001,44.875851,94780800
2018-05-16,46.517502,47.115002,46.500000,47.044998,45.294662,76732400
2018-05-17,47.000000,47.227501,46.590000,46.747501,45.008228,69176000
2018-05-18,46.797501,46.952499,46.532501,46.577499,44.844547,73190800
2018-05-21,47.000000,47.317501,46.727501,46.907501,45.162281,73603200
2018-05-22,47.095001,47.220001,46.695000,46.790001,45.049149,60962800
2018-05-23,46.587502,47.125000,46.439999,47.090000,45.337982,80233600
2018-05-24,47.192501,47.209999,46.552502,47.037498,45.287445,92936000
2018-05-25,47.057499,47.412498,46.912498,47.145000,45.390945,69844000
2018-05-29,46.900002,47.187500,46.717499,46.974998,45.227261,90056400
2018-05-30,46.930000,47.000000,46.695000,46.875000,45.130989,74762000
2018-05-31,46.805000,47.057499,46.535000,46.717499,44.979351,109931200
2018-06-01,46.997501,47.564999,46.937500,47.560001,45.790497,93770000
2018-06-04,47.910000,48.355000,47.837502,47.957500,46.173210,105064800
2018-06-05,48.267502,48.485001,48.090000,48.327499,46.529438,86264000
2018-06-06,48.407501,48.520000,47.980000,48.494999,46.690720,83734400
2018-06-07,48.535000,48.549999,48.084999,48.365002,46.565548,85388800
2018-06-08,47.792500,48.000000,47.442501,47.924999,46.141922,106627200
2018-06-11,47.837502,47.992500,47.552502,47.807499,46.028797,73234000
2018-06-12,47.847500,48.152500,47.787498,48.070000,46.281528,67644400
2018-06-13,48.105000,48.220001,47.610001,47.674999,45.901222,86553600
2018-06-14,47.887501,47.892502,47.555000,47.700001,45.925301,86440400
2018-06-15,47.507500,47.540001,47.064999,47.209999,45.453518,246876800
2018-06-18,46.970001,47.305000,46.799999,47.185001,45.429451,73939600
2018-06-19,46.285000,46.582500,45.862499,46.422501,44.695328,134314000
2018-06-20,46.587502,46.799999,46.432499,46.625000,44.890282,82514800
2018-06-21,46.812500,47.087502,46.235001,46.365002,44.639965,102847600
2018-06-22,46.529999,46.537498,46.174999,46.230000,44.509983,108801600
2018-06-25,45.849998,46.230000,45.182499,45.542500,43.848061,126652400
2018-06-26,45.747501,46.632500,45.634998,46.107498,44.392044,98276800
2018-06-27,46.307499,46.820000,46.007500,46.040001,44.327061,101141200
2018-06-28,46.025002,46.552502,45.950001,46.375000,44.649590,69460800
2018-06-29,46.572498,46.797501,45.727501,46.277500,44.555706,90950800
2018-07-02,45.955002,46.825001,45.855000,46.794998,45.053963,70925200
2018-07-03,46.947498,46.987499,45.884998,45.980000,44.269283,55819200
2018-07-05,46.314999,46.602501,46.070000,46.349998,44.625519,66416800
2018-07-06,46.355000,47.107498,46.299999,46.992500,45.244118,69940800
2018-07-09,47.375000,47.669998,47.325001,47.645000,45.872337,79026400
2018-07-10,47.677502,47.820000,47.544998,47.587502,45.816971,63756400
2018-07-11,47.125000,47.445000,46.902500,46.970001,45.222458,75326000
2018-07-12,47.382500,47.852501,47.327499,47.757500,45.980652,72164400
2018-07-13,47.770000,47.959999,47.724998,47.832500,46.052864,50055600
2018-07-16,47.880001,48.162498,47.605000,47.727501,45.951775,60172400
2018-07-17,47.437500,47.967499,47.299999,47.862499,46.081749,62138000
2018-07-18,47.945000,47.950001,47.482498,47.599998,45.829018,65573600
2018-07-19,47.422501,48.137501,47.422501,47.970001,46.185249,81147200
2018-07-20,47.945000,48.107498,47.542500,47.860001,46.079346,82704800
2018-07-23,47.669998,47.990002,47.389999,47.902500,46.120262,63957600
2018-07-24,48.112499,48.415001,48.012501,48.250000,46.454826,74791600
2018-07-25,48.264999,48.712502,48.107498,48.705002,46.892902,66839600
2018-07-26,48.652500,48.990002,48.402500,48.552502,46.746078,76304000
2018-07-27,48.747501,48.797501,47.525002,47.744999,45.968624,96096000
2018-07-30,47.974998,48.049999,47.267502,47.477501,45.711075,84118000
2018-07-31,47.575001,48.035000,47.334999,47.572498,45.802528,157492000
2018-08-01,49.782501,50.439999,49.327499,50.375000,48.500774,271742800
2018-08-02,50.145000,52.095001,50.087502,51.847500,49.918484,249616000
2018-08-03,51.757500,52.185001,51.369999,51.997501,50.062904,133789600
2018-08-06,52.000000,52.312500,51.767502,52.267502,50.322853,101701600
2018-08-07,52.330002,52.375000,51.689999,51.777500,49.851089,102349600
2018-08-08,51.512501,51.952499,51.130001,51.812500,49.884785,90102000
2018-08-09,52.382500,52.445000,51.799999,52.220001,50.277122,93970400
